domain,sector,state,institution_name
cuap.ac.in,edu,Andhra Pradesh,Central University of Andhra Pradesh
nitandhra.ac.in,edu,Andhra Pradesh,NIT Andhra Pradesh
www.aiimsmangalagiri.edu.in,edu,Andhra Pradesh,AIIMS Mangalagiri
www.ctuap.ac.in,edu,Andhra Pradesh,Central Tribal University of Andhra Pradesh
www.iiitk.ac.in,edu,Andhra Pradesh,IIITDM Kurnool
www.iiits.ac.in,edu,Andhra Pradesh,IIIT Sri City
www.iittp.ac.in,edu,Andhra Pradesh,IIT Tirupati
www.nsktu.ac.in,edu,Andhra Pradesh,National Sanskrit University
www.nitap.ac.in,edu,Arunachal Pradesh,NIT Arunachal Pradesh
www.rgu.ac.in,edu,Arunachal Pradesh,Rajiv Gandhi University
aiimsguwahati.ac.in,edu,Assam,AIIMS Guwahati
www.aus.ac.in,edu,Assam,Assam University
www.iiitg.ac.in,edu,Assam,IIIT Guwahati
www.iitg.ac.in,edu,Assam,IIT Guwahati
www.nits.ac.in,edu,Assam,NIT Silchar
aiimspatna.edu.in,edu,Bihar,AIIMS Patna
cusb.ac.in,edu,Bihar,Central University of South Bihar
nalandauniv.edu.in,edu,Bihar,Nalanda University
www.iiitbh.ac.in,edu,Bihar,IIIT Bhagalpur
www.iitp.ac.in,edu,Bihar,IIT Patna
www.mgcub.ac.in,edu,Bihar,Mahatma Gandhi Central University
www.nitp.ac.in,edu,Bihar,NIT Patna
www.rpcau.ac.in,edu,Bihar,Dr. Rajendra Prasad Central Agriculture University
www.aiimsraipur.edu.in,edu,Chhattisgarh,AIIMS Raipur
www.ggu.ac.in,edu,Chhattisgarh,Guru Ghasidas Vishwavidyalaya
www.iitbhilai.ac.in,edu,Chhattisgarh,IIT Bhilai
www.nitrr.ac.in,edu,Chhattisgarh,NIT Raipur
home.iitd.ac.in,edu,Delhi,IIT Delhi
jmi.ac.in,edu,Delhi,Jamia Millia Islamia
nitdelhi.ac.in,edu,Delhi,NIT Delhi
www.du.ac.in,edu,Delhi,University of Delhi
www.ignou.ac.in,edu,Delhi,Indira Gandhi National Open University
www.jnu.ac.in,edu,Delhi,Jawaharlal Nehru University
www.slbsrsv.ac.in,edu,Delhi,Shri Lal Bahadur Shastri National Sanskrit University
iitgoa.ac.in,edu,Goa,IIT Goa
www.nitgoa.ac.in,edu,Goa,NIT Goa
gsv.ac.in,edu,Gujarat,Gati Shakti Vishwavidyalaya
iiitsurat.ac.in,edu,Gujarat,IIIT Surat
www.aiimsrajkot.edu.in,edu,Gujarat,AIIMS Rajkot
www.cug.ac.in,edu,Gujarat,Central University of Gujarat
www.iiitvadodara.ac.in,edu,Gujarat,IIIT Vadodara
www.iitgn.ac.in,edu,Gujarat,IIT Gandhinagar
www.svnit.ac.in,edu,Gujarat,NIT Surat
aiimsrewari.edu.in,edu,Haryana,AIIMS Rewari
nitkkr.ac.in,edu,Haryana,NIT Kurukshetra
www.cuh.ac.in,edu,Haryana,Central University of Haryana
www.iiitsonepat.ac.in,edu,Haryana,IIIT Sonipat
cuhimachal.ac.in,edu,Himachal Pradesh,Central University of Himachal Pradesh
nith.ac.in,edu,Himachal Pradesh,NIT Hamirpur
www.aiimsbilaspur.edu.in,edu,Himachal Pradesh,AIIMS Bilaspur
www.iiitu.ac.in,edu,Himachal Pradesh,IIIT Una
www.iitmandi.ac.in,edu,Himachal Pradesh,IIT Mandi
aiimsawantipora.edu.in,edu,Jammu and Kashmir,AIIMS Awantipora
nitsri.ac.in,edu,Jammu and Kashmir,NIT Srinagar
www.aiimsjammu.edu.in,edu,Jammu and Kashmir,AIIMS Jammu
www.cujammu.ac.in,edu,Jammu and Kashmir,Central University of Jammu
www.cukashmir.ac.in,edu,Jammu and Kashmir,Central University of Kashmir
www.iitjammu.ac.in,edu,Jammu and Kashmir,IIT Jammu
aiimsdeoghar.edu.in,edu,Jharkhand,AIIMS Deoghar
www.cuj.ac.in,edu,Jharkhand,Central University of Jharkhand
www.iiitranchi.ac.in,edu,Jharkhand,IIIT Ranchi
www.iitism.ac.in,edu,Jharkhand,IIT (ISM) Dhanbad
www.nitjsr.ac.in,edu,Jharkhand,NIT Jamshedpur
iiitdwd.ac.in,edu,Karnataka,IIIT Dharwad
